User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA4KRM5MFMORAINRCN,2023-07-28T09:06:55Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,219.74.213.207,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:847276499288:trail/Udacity_Trail""}]",91863b93-e341-430a-a236-9753a236b0a8,3b945397-a945-485b-9368-f031d09915f7,false,AwsApiCall,847276499288,Management
CloudTrail,ASIA4KRM5MFMORAINRCN,2023-07-28T09:04:58Z,cloudtrail.amazonaws.com,StopLogging,us-east-1,219.74.213.207,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:847276499288:trail/Udacity_Trail""}]",37a60e1e-f589-4d80-8b0f-7fe2e3ab2538,8503da7f-038c-4391-817b-b6c6e4baed5c,false,AwsApiCall,847276499288,Management
CloudTrail,ASIA4KRM5MFMORAINRCN,2023-07-28T08:52:51Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,219.74.213.207,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:847276499288:trail/Udacity_Trail""}]",f0122e87-e527-4994-8f28-a6dd62373327,2e007f48-6a80-4cb0-9e14-d4493fd3abc7,false,AwsApiCall,847276499288,Management
CloudTrail,ASIA4KRM5MFMORAINRCN,2023-07-28T08:52:51Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,219.74.213.207,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:847276499288:trail/Udacity_Trail""}]",3cc7ee80-ca7b-4c9f-a4ac-6371300b46c8,553f5cc8-05d6-4f15-b440-f26670c70a36,false,AwsApiCall,847276499288,Management
CloudTrail,ASIA4KRM5MFMORAINRCN,2023-07-28T08:52:50Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,219.74.213.207,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.12.433 Linux/5.10.184-153.731.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/17.0.7+11 java/1.8.0_372 vendor/N/A cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-847276499288-68bdc826""}]",SP48255SFEN76FAS,8fa24d95-5b93-46a0-af91-2c4aa816bfa7,false,AwsApiCall,847276499288,Management
CloudTrail,ASIA4KRM5MFMORAINRCN,2023-07-28T08:52:50Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,219.74.213.207,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.12.433 Linux/5.10.184-153.731.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/17.0.7+11 java/1.8.0_372 vendor/N/A cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-847276499288-68bdc826""}]",EDP5W278BZRTAD0Y,f4ee7b1a-a443-4eee-b18e-ad6c7bb16235,false,AwsApiCall,847276499288,Management
CloudTrail,ASIA4KRM5MFMORAINRCN,2023-07-28T08:52:50Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,219.74.213.207,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:847276499288:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-847276499288-68bdc826""}]",209c7171-3e41-4784-8336-a806ece3fcce,fd863f1a-dea2-4a25-8c5a-4c6a8be2c73e,false,AwsApiCall,847276499288,Management
CloudTrail,ASIA4KRM5MFMORAINRCN,2023-07-28T08:52:49Z,s3.amazonaws.com,CreateBucket,us-east-1,219.74.213.207,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.12.433 Linux/5.10.184-153.731.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/17.0.7+11 java/1.8.0_372 vendor/N/A cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-847276499288-68bdc826""}]",EDP6WY7XZ8GZ6RP0,7be2cbb7-432c-4a0d-98b0-88592586de1f,false,AwsApiCall,847276499288,Management
CloudTrail,ASIA4KRM5MFMD7GPUV2I,2023-07-28T08:47:11Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],a0fd367f-c631-4f8f-a027-06d597817b1f,3d9ed4f5-c60b-4d0b-8ef9-8ce5876e064e,false,AwsApiCall,847276499288,Management
CloudTrail,ASIA4KRM5MFMD7GPUV2I,2023-07-28T08:45:48Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,InvalidRequestException,[],8687438b-b3d3-4eb8-be8d-c6d2ec627e25,13f9ce63-8a47-4be1-8d10-577f7e80f9c5,false,AwsApiCall,847276499288,Management
